"","X.1","X","SpeciesName","OriginalSource","Site","Date","Tag","HeightOfMeasurement","Diameter","Height","CrownArea","sp.code"
"3",3,3,"Adelia triloba","WrightBCI2007","BCI50ha",NA,63743,NA,0.163,15.2,48.9803943667056,"ade1tr"
"4",4,4,"Adelia triloba","WrightBCI2007","BCI50ha",NA,64037,NA,0.124,9.07,17.8508579990843,"ade1tr"
"5",5,5,"Adelia triloba","WrightBCI2007","BCI50ha",NA,256906,NA,0.129,12.9,10.3216979310333,"ade1tr"
"6",6,6,"Adelia triloba","WrightBCI2007","BCI50ha",NA,85986,NA,0.14,15.5,44.4494648898281,"ade1tr"
"16",16,16,"Alchornea costaricensis","WrightBCI2007","BCI50ha",NA,1086,NA,0.43,18.3098081231742,42.8039523643332,"alchco"
"20",20,20,"Alchornea costaricensis","WrightBCI2007","BCI50ha",NA,6574,NA,0.419,21.8068221913752,119.950123807066,"alchco"
"24",24,24,"Alchornea costaricensis","BohlmanBCI1997","BCI50ha",NA,6772,NA,0.39,19.36,48.6284249591188,"alchco"
"26",26,26,"Alchornea costaricensis","BohlmanBCI1997","BCI50ha",NA,258263,NA,0.279,15.09,61.8491518712643,"alchco"
"28",28,28,"Alchornea costaricensis","WrightBCI2007","BCI50ha",NA,87943,NA,0.552,14.8174820105038,53.0206898212758,"alchco"
"29",29,29,"Alchornea costaricensis","BohlmanBCI1997","BCI50ha",NA,232830,NA,0.078,12.91,7.31451574830101,"alchco"
"32",32,32,"Alchornea costaricensis","BohlmanBCI1997","BCI50ha",NA,2982,NA,0.599,16.85,114.904048338278,"alchco"
"33",33,33,"Alchornea costaricensis","BohlmanBCI1997","BCI50ha",NA,4934,NA,0.753,31.13,417.415227717761,"alchco"
"42",42,42,"Alchornea costaricensis","WrightBCI2007","BCI50ha",NA,2769,NA,0.4,21.822112863461,42.0991421625904,"alchco"
"45",45,45,"Alchornea costaricensis","BohlmanBCI1997","BCI50ha",NA,296262,NA,0.177,14.19,29.17596193739,"alchco"
